Country,Region,Gender,Ageyears,Handed,Height,Foot_Length,Arm_Span,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_enery,Importance_owning_computer,Importance_Internet_access
USA,TX,F,17,R,147,22,147,2,Car,10,0.336,0,Other,300,400,500,600,1000,1000
NZ,Auckland,F,9,R,148,24,145,1,Car,5,0.483,0,Football/Soccer,250,,1000,,,
OZ,New South Wales,F,15,R,181,26,171,1,Car,15,0.47,32,Hockey (Field),409,468,793,834,113,113
CA,Manitoba,F,11,R,140,21,145,2,Car,6,1,30,Basketball,866,1000,882,791,535,529
NZ,Auckland,F,13,R,161,23,162,1,Walk,5,0,0,Other activities/sports,500,,500,,,
OZ,New South Wales,F,6,R,142,23,141,1,Car,3,0.4,31,Netball,539,645,805,580,710,568
OZ,Queensland,F,10,R,140,23,151,1,Car,5,0.51,54,Swimming,1000,1000,1000,1000,118,1
USA,PA,F,10,R,152,10,200,2,Bus,2,0,9,Baseball/Softball,0,1000,10,,1000,1000
CA,Ontario,F,14,B,160,22,154,1,Bus,75,0.422,46,Gymnastics,567,487,529,545,1000,1000
UK,South West,F,14,R,160,23,110,1,Bus,25,0.32,26,Football/Soccer,0,0,0,0,1000,1000
OZ,Tasmania,F,11,R,158,27,151,2,Car,30,0.5,0,Dancing,196,232,190,113,539,468
USA,CA,F,17,R,165,22,165,2,Car,15,0.397,39,Running/Jogging,1000,1000,492,1000,487,497
CA,Ontario,F,13,R,145,24,157,1,Bus,60,0.281,40,Other activities/sports,1000,738,1000,487,551,733
NZ,Auckland,F,13,R,151,25,151,1,Bus,45,0.343,0,Cycling,500,,250,,,
NZ,Wellington,F,12,R,150,22,149,1,Car,15,0.453,0,Netball,500,,750,,,
OZ,Victoria,F,11,R,155,23,155,1,Car,2,0.48,48,Dancing,1000,1000,1000,1000,,
UK,East Midlands,F,12,R,148,25,148,1,Walk,15,0.55,43,Dancing,661,741,513,617,332,704
CA,Alberta,F,11,B,142,22,149,1,Walk,2,0.33,36,Football/Soccer,1000,1000,1000,1000,476,385
OZ,Tasmania,F,14,R,175,28,180,1,Bus,15,0.29,37,Dancing,551,687,1000,143,415,113
OZ,Western OZ,M,15,R,157,26,158,2,Car,10,0.32,36,Skateboarding/Rollerblading,953,450,1000,616,622,752
OZ,South OZ,M,11,R,150,24,152,2,Car,5,0.59,34,Football/Soccer,545,604,533,427,308,308
UK,South,M,13,R,156,26,162,5,Bus,17,0,41,Tennis,725,967,90,884,654,1000
CA,Alberta,M,12,R,167,23,167,2,Walk,5,0.265,46,Other activities/sports,1000,1000,535,1000,519,1000
OZ,New South Wales,M,14,R,168,27,160,3,Bus,15,0.29,50,Football/Soccer,308,273,314,391,929,840
CA,Ontario,M,14,R,172,28,176,1,Bus,50,0.437,37,Football/Soccer,888,866,684,754,952,984
USA,UT,M,15,R,175,27,180,1,Bus,5,0.297,30,Basketball,9,10,10,,5,5
OZ,Western OZ,M,6,B,145,24,134,1,Cycle,5,0.34,76,Other activities/sports,574,1000,131,462,409,1000
USA,SC,M,17,R,179,10,186,1,Car,15,0.297,50,Golf,385,406,27,802,930,1000
OZ,Western OZ,M,15,R,191,29,192,2,Bus,60,0.36,46,Other activities/sports,586,273,1000,450,285,
NZ,Auckland,M,8,R,140,22,136,1,Car,25,0,0,Rugby Union,750,,1000,,,
OZ,New South Wales,M,13,R,162,26,158,1,Rail,40,0.29,37,Tennis,308,297,462,622,1000,734
OZ,Victoria,M,11,R,147,22,146,1,Car,10,0.31,62,Football/Soccer,1000,988,533,391,622,805
USA,NC,M,12,R,144,22,141,1,Car,4,0.335,52,Football/Soccer,500,750,750,500,500,750
UK,North West,M,12,R,162,26,162,1,Walk,10,0.46,56,Football/Soccer,213,219,289,391,783,734
NZ,Auckland,M,15,R,180,30,157,1,Walk,25,0.453,0,Football/Soccer,750,,500,,,
USA,RI,M,12,R,150,24,156,1,Walk,10,0.37,41,Skateboarding/Rollerblading,604,567,497,492,1000,1000
USA,NC,M,14,R,140,24,140,1,Bus,20,0.371,54,Running/Jogging,1000,1000,1000,50,80,1000
OZ,Western OZ,M,12,R,155,23,146,1,Car,16,0.25,37,Rugby Union,1000,1000,1000,1000,675,734
NZ,Auckland,M,12,R,153,27,151,1,Car,5,0.937,0,Football/Soccer,750,,1000,,,
USA,IL,M,17,R,190,29,198,2,Car,4,0.104,39,,807,743,743,863,261,112
OZ,Tasmania,M,13,R,157,23,156,1,Bus,36,0.41,49,Swimming,1000,438,438,180,593,599
USA,MD,M,17,R,187,34,184,1,Car,10,0.291,41,Other,70,193,364,59,48,187
NZ,Waikato,M,12,R,153,18,146,1,Walk,5,0.455,0,Tennis,1000,,1000,,,
NZ,Waikato,M,14,R,180,30,192,3,Car,15,0.297,0,Rowing,0,,0,,,
OZ,Victoria,M,11,R,151,21,149,1,Walk,15,0.6,52,Football/Soccer,403,580,326,261,90,182
NZ,Waikato,M,13,B,153,23,153,2,Car,15,0.281,0,Rugby Union,500,,1000,,,
OZ,Victoria,M,11,R,159,27,157,1,Walk,10,0.57,41,Basketball,598,291,1000,687,,
USA,PA,M,12,R,155,18,150,2,Walk,9,0.359,35,Baseball/Softball,990,1000,1000,900,90,540
CA,Ontario,M,9,R,144,22,150,1,Walk,10,0.512,46,Cycling,775,310,791,781,797,807
NZ,Auckland,M,14,L,142,22,152,1,Bus,25,0.328,0,Golf,750,,500,,,
USA,SC,M,16,L,175,28,175,1,Car,3,0,56,Football (American),500,400,300,500,500,600
USA,KS,M,17,R,170,25,170,2,Car,10,0.28,36,Tennis,700,700,800,800,1000,1000
CA,Quebec,M,13,B,167,23,163,2,Bus,5,0.344,47,Basketball,551,658,471,513,968,973
USA,GU,M,14,L,161,24,173,3,Car,20,0,0,Table Tennis,100,70,70,50,80,85
OZ,Western OZ,M,15,R,154,24,159,1,Walk,5,0.35,39,Football/Soccer,509,397,586,574,474,793
OZ,Victoria,M,10,R,114,23,147,1,Walk,4,0.79,43,Skateboarding/Rollerblading,1000,1000,1000,1000,1000,1000
USA,NY,M,17,R,186,27,186,2,Bus,15,0.21,26,Tennis,0,0,0,,900,1000
CA,Ontario,M,18,R,182,27,187,2,Bus,10,1.32,46,Tennis,920,861,273,487,733,904
USA,MN,M,9,R,131,21,134,1,Bus,59,0.516,92,Running/Jogging,1,1,0,1,1,1
OZ,Queensland,M,11,R,148,25,155,2,Car,10,0.45,50,Golf,1000,1000,1000,1000,,
OZ,New South Wales,M,12,R,164,28,164,2,Walk,20,0.37,42,Basketball,1000,1000,574,574,332,332
USA,MN,M,16,R,184,35,170,3,Bus,60,0.483,50,Other,1000,1000,1000,1000,250,250
CA,Ontario,M,14,R,161,25,154,1,Cycle,15,0.422,43,Cycling,1000,1000,1000,1000,497,155
OZ,Western OZ,M,15,R,180,28,170,1,Car,5,0.37,39,Walking/Hiking,947,722,746,657,551,781
OZ,New South Wales,M,15,R,178,28,200,1,Bus,25,0.32,53,Other activities/sports,190,480,480,332,781,834
OZ,Tasmania,M,18,R,171,26,170,2,Car,10,0.23,33,Other activities/sports,78,409,66,610,622,596
USA,MI,M,16,R,177,30,152,1,Walk,17,0.631,43,Football/Soccer,900,900,800,700,900,800
CA,Manitoba,M,14,R,175,26,176,1,Car,10,0.313,31,Football/Soccer,497,433,241,390,594,706
NZ,Auckland,M,14,R,167,32,167,2,Walk,5,0,0,Rugby Union,750,,500,,,
